classification_E;catégorie;symptome-fr;symptome-en;symptome-en-simple;type of crisis;Comments;CIM_10;CIM11;Orphanet
E97;Non liés à l'âge;Epilepsies réflexes/startle épilepsie;Reflex epilepsies;Reflex;;Reflex;G40.8;8A61.40;310
E98;Non liés à l'âge;Syndrome de Rasmussen;Rasmussen syndrome;Rasmussen;;Rasmussen;G04.8;8A62.Y;1929
E110;Suivant localisation anatomique;Epilepsie centrale;central epilepsy;central;focal;central;G40.2;8A6Y;
E111;Suivant localisation anatomique;Epilepsie de l'AMS;supplementary motor area;supplementary motor area;focal;supplementary motor area;G40.2;8A6Y;
E112;Suivant localisation anatomique;Epilepsie du carrefour;Temporoparietal junction;Temporoparietal junction;focal;Temporoparietal junction;G40.2;8A6Y;
E113;Suivant localisation anatomique;Epilepsie frontale dorso-latérale;frontal epilepsy;frontal;focal;frontal;G40.2;8A6Y;
E114;Suivant localisation anatomique;Epilepsie frontale fronto-mésiale;frontal epilepsy;frontal;focal;;G40.2;8A6Y;
E115;Suivant localisation anatomique;Epilepsie frontale fronto-orbitaire;frontal epilepsy;frontal;focal;;G40.2;8A6Y;
E116;Suivant localisation anatomique;Epilepsie frontale sans localisation précise;frontal epilepsy;frontal;focal;;G40.2;8A6Y;
E117;Suivant localisation anatomique;Epilepsie fronto-temporale;frontal epilepsy;fontral temporal;focal;;G40.2;8A6Y;
E118;Suivant localisation anatomique;Epilepsie insulaire;insular epilepsy;insular;focal;insular;G40.2;8A6Y;
E119;Suivant localisation anatomique;Epilepsie multifocale;multifocal epilepsy;multifocal;focal;multifocal;G40.2;8A6Y;
E120;Suivant localisation anatomique;Epilepsie occipitale;occipital epilepsy;occipital;focal;occipital;G40.2;8A6Y;
E121;Suivant localisation anatomique;Epilepsie pariétale;parietal epilepsy;parietal;focal;parietal;G40.2;8A6Y;
E122;Suivant localisation anatomique;"Epilepsie temporale ""plus""";temporal epilepsy;temporal lobe;focal;temporal lobe;G40.2;8A6Y;
E123;Suivant localisation anatomique;Epilepsie temporale externe;external temporal epilepsy;external temporal;focal;external temporal;G40.2;8A6Y;
E124;Suivant localisation anatomique;Epilepsie temporale mesio-temporale avec Sclérose Hippocampique;Mesial temporal lobe epilepsy with hippocampal sclerosis (MTLE with HS);MTLE with HS;focal;MTLE with HS;G40.2;8A6Y;
E125;Suivant localisation anatomique;Epilepsie temporale mesio-temporale sans Sclérose Hippocampique;Mesial temporal lobe epilepsy without  hippocampal sclerosis (MTLE with HS);temporal;focal;;G40.2;8A6Y;
E126;Suivant localisation anatomique;Epilepsie temporo-occipitale;temporal occipital epilepsy;temporal occipital;focal;temporal occipital;G40.2;8A6Y;
E127;Suivant localisation anatomique;Epilepsie temporale sans localisation précise;temporal epilepsy without precise location;temporal;focal;;G40.2;8A6Y;
E128;Suivant localisation anatomique;Autre localisation;Other location;Unkown;focal;;G40.2;8A6Y;
E129;Suivant localisation anatomique;Localisation indéterminée;Unkown location;Unkown;focal;Unkown;G40.2;8A6Y;
